id,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
11,tpch,8GB,77.0,18MB,4.0,10.0,15.0,191MB,3354MB,148.56068897247314,46.466111183166504,12.746796131134033,41.52091574668884,54.56518077850342,32.50263690948486,72.02620506286621,36.73096323013306,71.8362193107605,41.22986364364624,26.042893171310425,35.86866760253906,10.032517433166504,42.59699463844299,443.21244978904724,44.90688157081604,35.43784856796265,44.92820763587952,47.85594153404236,67.8686671257019,1356.9366500377655,30.json,1560181787
12,tpch,4GB,37.0,6234MB,5.0,5.0,5.0,210MB,3915MB,151.74852013587952,49.808297872543335,9.090049028396606,40.55479168891907,50.79755759239197,41.9691436290741,83.88371133804321,23.961446285247803,74.27323603630066,40.12700033187866,14.719681739807129,41.32379174232483,10.03053092956543,45.26565098762512,26.57081365585327,43.34998035430908,36.34278392791748,42.975284576416016,45.150476932525635,69.4499089717865,941.3926577568054,30.json,1560197025
13,tpch,2GB,203.0,5687MB,4.0,8.0,2.0,460MB,3950MB,150.09976315498352,45.62407207489014,7.982915639877319,49.193302154541016,51.25031661987305,33.997090339660645,74.49454021453857,23.017051458358765,71.85138630867004,41.209941387176514,13.526165008544922,36.2643256187439,9.724367618560791,43.28103709220886,25.069957971572876,43.35119605064392,35.23883771896362,43.37178087234497,45.01942181587219,62.63937044143677,906.2068395614624,30.json,1560184970
14,tpch,5GB,27.0,7332MB,4.0,11.0,16.0,561MB,1465MB,147.30149626731873,48.467777729034424,12.834095239639282,43.20098948478699,53.7084584236145,32.20301628112793,83.47944498062134,24.818419456481934,71.94333600997925,42.52746891975403,13.025751829147339,36.417311668395996,9.77900767326355,43.135906457901,444.6120319366455,45.64949345588684,35.36958312988281,45.48183274269104,48.08611226081848,66.74854636192322,1348.7900803089142,30.json,1560206642
15,tpch,4GB,86.0,4452MB,1.0,3.0,5.0,844MB,257MB,164.64707040786743,46.90086889266968,9.666199684143066,42.71264863014221,41.32073497772217,34.46831798553467,85.36316061019897,23.635419845581055,72.21006464958191,43.5758056640625,14.770819664001465,38.13728165626526,21.39539909362793,45.91330313682556,439.84186339378357,47.47673463821411,36.1293363571167,47.49169325828552,52.74103093147278,107.00713014602661,1415.4048836231232,30.json,1560202560
16,tpch,4GB,122.0,839MB,8.0,12.0,7.0,172MB,691MB,145.65277791023254,48.34269142150879,9.82083797454834,60.63636040687561,51.818522214889526,32.64426040649414,71.18088746070862,21.03180456161499,71.35113883018494,40.85342359542847,15.51223349571228,36.00677800178528,13.136393308639526,42.48726773262024,199.70064449310303,47.84205651283264,34.9486722946167,47.12317967414856,44.56707239151001,65.89658570289612,1100.5535883903503,30.json,1560199822
17,tpch,4GB,242.0,3345MB,3.0,2.0,6.0,344MB,3233MB,146.48790979385376,47.143166065216064,9.118163108825684,43.09213042259216,53.57765817642212,32.57527184486389,78.66927242279053,22.849522352218628,74.53981494903564,41.594295263290405,13.53021764755249,35.81708097457886,11.338781833648682,42.47469758987427,439.52132630348206,47.12518858909607,34.85084939002991,46.79907250404358,52.610161781311035,62.26005983352661,1335.9746408462524,30.json,1560204068
18,tpch,4GB,241.0,4810MB,1.0,11.0,5.0,995MB,3266MB,163.82110452651978,46.36398005485535,8.541278600692749,51.737223863601685,51.478862047195435,34.30840754508972,79.88515448570251,20.49796462059021,71.58560490608215,42.4125862121582,13.964805603027344,37.45710730552673,18.106654167175293,45.78542971611023,25.711877822875977,45.68599343299866,36.08805012702942,46.18378710746765,46.11633491516113,69.8884813785553,955.6206884384155,30.json,1560189159
19,tpch,8GB,204.0,6261MB,1.0,2.0,6.0,531MB,3504MB,162.92436742782593,47.86514091491699,17.017242193222046,44.643818616867065,54.04454493522644,33.334179162979126,80.66407799720764,38.28656530380249,72.03703212738037,43.638938426971436,26.664769649505615,37.14078235626221,18.85499668121338,45.072667837142944,438.0766987800598,47.88078498840332,36.1317036151886,49.84735679626465,62.71752595901489,69.4861011505127,1426.3292949199677,30.json,1560186559
20,tpch,8GB,241.0,7833MB,8.0,12.0,12.0,492MB,3690MB,149.92796969413757,45.00707483291626,8.42012095451355,41.16079139709473,54.18198752403259,32.41721844673157,74.64393758773804,23.155210494995117,71.6488287448883,41.08210229873657,13.848426103591919,36.152695417404175,9.946210622787476,42.74536180496216,24.558552265167236,43.652703046798706,35.3384370803833,44.43076419830322,47.94029092788696,66.94036674499512,907.1990501880646,30.json,1560182849
21,tpch,6GB,159.0,830MB,5.0,3.0,11.0,905MB,636MB,148.62470650672913,47.261120557785034,13.771589040756226,41.187798738479614,56.05302333831787,32.544355630874634,76.57010698318481,36.65040040016174,74.78141021728516,41.6935715675354,28.702476739883423,35.70171523094177,13.072338104248047,42.019078969955444,442.0507640838623,45.78008675575256,35.05629014968872,45.07140302658081,52.73419165611267,67.11582374572754,1376.442251443863,30.json,1560198567
22,tpch,4GB,1.0,64MB,8.0,4.0,1.0,8MB,4MB,151.48821330070496,64.97425580024719,10.239610433578491,60.32350778579712,40.62194275856018,36.68592166900635,80.39543318748474,30.861854791641235,116.3113100528717,40.2394495010376,20.348208904266357,37.26229906082153,10.871086835861206,67.80039024353027,74.19787955284119,63.83741760253906,35.4630925655365,59.01940965652466,47.000977516174316,195.0613944530487,1243.0036556720734,30.json,1560176280
23,tpch,4GB,11.0,7487MB,3.0,9.0,6.0,238MB,2606MB,148.77114582061768,45.866390228271484,8.193091869354248,59.51588416099548,51.46959185600281,32.62349843978882,75.99878287315369,23.002628087997437,72.42977452278137,41.0831356048584,14.028557300567627,36.44450044631958,11.318384170532227,42.456888914108276,24.598857641220093,43.74566125869751,35.34582781791687,56.20637369155884,45.11928915977478,62.12954235076904,930.3478062152863,30.json,1560194757
24,tpch,3GB,157.0,7178MB,8.0,2.0,10.0,656MB,1030MB,148.14903140068054,45.4824857711792,9.042830228805542,48.03136157989502,54.1699903011322,32.57745909690857,71.85620903968811,23.19709801673889,72.01384592056274,41.310269355773926,15.41043210029602,36.69082164764404,10.168022871017456,42.59532856941223,442.9507267475128,45.722718477249146,35.21444034576416,46.24951195716858,52.95472979545593,62.66231346130371,1336.4496266841888,30.json,1560180275
25,tpch,8GB,57.0,175MB,5.0,8.0,6.0,117MB,1420MB,145.71003580093384,46.505993366241455,8.011264562606812,41.35812163352966,51.69415545463562,32.03843569755554,76.24915146827698,22.610166788101196,71.6913833618164,42.02310299873352,13.397335767745972,36.11233139038086,9.689073085784912,42.63815355300903,26.673728466033936,44.44725060462952,34.25930833816528,44.37820839881897,43.96262717247009,60.967095613479614,894.4169235229492,30.json,1560205129
26,tpch,8GB,57.0,175MB,5.0,8.0,6.0,117MB,1420MB,148.03566694259644,49.362223625183105,8.367588758468628,42.9513897895813,50.8333842754364,33.420567989349365,78.12166357040405,24.568490266799927,71.844801902771,41.206074237823486,13.621638774871826,36.15545105934143,10.446244478225708,42.522327184677124,27.30182123184204,44.20737338066101,34.880274057388306,46.55516862869263,44.702656507492065,62.41775870323181,911.5225653648376,30.json,1560208811
