,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
10,tpch,4GB,241.0,4810MB,1.0,11.0,5.0,995MB,3266MB,62.64391756057739,15.692046403884888,4.024037837982179,13.11293625831604,18.71979379653931,11.194172382354736,21.74921703338623,7.628549575805664,15.716277837753296,10.65484094619751,4.850394010543823,8.715602874755861,7.112000465393066,16.635608673095707,21.59148669242859,13.2703595161438,7.9088900089263925,11.34029769897461,9.449308395385742,24.022294998168945,306.0320329666137,10.0,1560095153
11,tpch,4GB,33.0,7572MB,3.0,10.0,10.0,994MB,1283MB,59.28018975257874,15.67288613319397,4.009228706359863,10.587608098983763,21.406023263931274,10.927688121795654,16.763666152954098,7.850511312484741,15.823564767837524,10.16944980621338,5.085136413574219,8.130867958068848,4.526546716690064,15.582077026367188,21.83043122291565,13.086645364761353,7.230621099472046,11.501579761505127,9.703278064727783,22.53292465209961,291.7009243965149,10.0,1560095513
12,tpch,3GB,177.0,6248MB,4.0,7.0,13.0,119MB,3363MB,58.7990140914917,12.127333402633667,5.046896696090698,10.407305955886839,22.14393377304077,10.545344352722168,17.059305667877194,8.878630399703981,15.526638746261597,10.255558013916016,7.130061388015747,8.724623203277588,4.453260660171509,10.177007675170898,15.35146975517273,11.0578293800354,7.23299765586853,9.601352930068972,8.816034317016602,22.554532766342163,275.8891308307648,10.0,1560095863
13,tpch,2GB,180.0,2367MB,1.0,12.0,10.0,594MB,60MB,62.38394951820374,11.00758957862854,3.3929378986358643,9.990173101425173,16.432919025421146,11.096676588058472,24.16408133506775,8.222992420196531,14.852738380432127,10.614422559738161,5.876198053359985,8.603053569793701,8.014388799667357,11.399491548538208,35.10541701316833,11.976634502410887,8.216297388076782,11.321600437164307,9.994241476058962,25.405319929122925,308.07112312316895,10.0,1560096240
14,tpch,8GB,96.0,5072MB,2.0,12.0,1.0,346MB,2823MB,57.868526220321655,12.42420220375061,3.6269817352294917,12.05593752861023,18.90808391571045,10.58616018295288,21.305540084838867,7.176237344741821,15.744253158569336,10.139381170272829,5.044665336608887,8.116583108901978,6.8523850440979,13.225409269332886,15.13917112350464,10.484024286270143,7.0501229763031015,10.147114753723145,9.696499586105348,20.461617708206177,276.0528967380524,10.0,1560096585
15,tpch,4GB,11.0,7487MB,3.0,9.0,6.0,238MB,2606MB,58.63900065422058,11.669439792633055,3.354552745819092,10.26096773147583,18.782899618148804,10.719290018081663,16.358102083206177,7.117854356765747,15.751264095306395,9.806249380111693,5.102696895599365,7.721937894821168,4.5652756690979,15.42859673500061,15.145628929138185,10.266506910324095,7.606060266494751,10.098179817199707,9.335408449172975,20.344767808914185,268.074679851532,10.0,1560096922
16,tpch,8GB,45.0,7855MB,3.0,13.0,1.0,309MB,2791MB,57.65505743026733,14.370989322662355,3.2508273124694824,12.174063444137573,18.17823958396912,10.636191844940186,16.419910192489624,7.818938970565796,15.470741987228394,9.496094942092897,5.145191192626953,8.621978521347046,4.318666458129884,15.765836715698242,13.895665407180786,10.592019319534304,7.105953931808473,10.004246711730957,9.477827310562132,20.467326164245605,270.8657667636872,10.0,1560097267
17,tpch,5GB,10.0,5325MB,6.0,16.0,11.0,297MB,3436MB,56.37673354148865,12.007824897766113,4.151667833328247,10.214333772659304,21.60657477378845,11.032613039016724,15.693519353866575,7.343580484390259,15.329332113265991,9.9109206199646,5.032398223876953,8.316780805587769,4.1317298412323,10.174671411514284,16.340210676193234,10.330038785934446,7.034034490585327,10.28384494781494,9.366636037826536,22.86662650108337,267.5440721511841,10.0,1560097603
18,tpch,6GB,159.0,830MB,5.0,3.0,11.0,905MB,636MB,58.36833548545837,11.049982786178589,4.451536178588867,8.917689800262451,18.452528953552246,10.642552137374876,16.258724689483646,9.201488018035887,15.57339572906494,10.068970441818236,7.1902947425842285,7.303275346755981,3.945764780044556,10.2432541847229,146.17883563041687,10.507100343704225,7.460439920425415,10.312793493270872,11.878321170806885,21.17382788658142,399.17911171913147,10.0,1560098077
19,tpch,4GB,122.0,839MB,8.0,12.0,7.0,172MB,691MB,58.66236591339111,12.12061643600464,3.2808926105499268,12.274219274520874,18.799007177352905,10.152782201766966,16.0508930683136,7.379157781600952,15.655596017837524,9.75722360610962,5.25964879989624,7.611985921859741,4.058182239532472,14.7699134349823,13.99375581741333,10.186557531356813,7.507971525192262,10.106648445129396,9.229305505752565,20.33676671981811,267.1934900283813,10.0,1560098413
