,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
10,tpch,4GB,122.0,839MB,8.0,12.0,7.0,172MB,691MB,58.66236591339111,12.120616436004639,3.2808926105499268,12.274219274520874,18.799007177352905,10.152782201766968,16.0508930683136,7.379157781600952,15.655596017837524,9.75722360610962,5.25964879989624,7.611985921859741,4.058182239532471,14.7699134349823,13.99375581741333,10.186557531356812,7.507971525192261,10.106648445129395,9.229305505752563,20.336766719818115,267.19349002838135,10.0,1560098413
11,tpch,6GB,175.0,3457MB,5.0,15.0,2.0,91MB,19MB,58.65540885925293,11.53932499885559,2.528548240661621,14.039435625076294,12.717727184295654,10.462693691253662,16.001972913742065,8.151986360549927,14.704941749572754,10.31403923034668,5.266209602355957,8.267067193984985,4.512805938720703,17.515922784805298,21.736676931381226,15.159391403198242,6.831930160522461,10.83960247039795,9.390161752700806,22.69863986968994,281.33448696136475,10.0,1560109054
12,tpch,5GB,97.0,6604MB,3.0,9.0,1.0,408MB,2079MB,58.51811957359314,12.691136360168457,3.2078115940093994,12.374216079711914,17.441433906555176,11.060028076171875,16.755003213882446,7.2069008350372314,15.271594762802124,9.953182935714722,5.2982141971588135,7.92279314994812,4.184024333953857,15.82292914390564,14.494024753570557,10.96181058883667,7.362483263015747,9.855004787445068,9.081334114074707,20.546184062957764,270.0082297325134,10.0,1560105740
13,tpch,4GB,138.0,5271MB,8.0,5.0,7.0,165MB,3395MB,57.96606230735779,15.687642574310303,5.282907247543335,9.766390800476074,21.83078360557556,10.45511245727539,14.773919105529785,10.63040566444397,14.577453374862671,9.76597785949707,6.726896524429321,8.30755877494812,4.106686592102051,16.04434585571289,21.118686199188232,13.377710580825806,7.581952095031738,9.917396306991577,9.06161880493164,21.375287532806396,288.3547942638397,10.0,1560103832
14,tpch,5GB,121.0,7177MB,4.0,5.0,6.0,158MB,1220MB,57.14357566833496,16.67926001548767,3.1367900371551514,9.887751340866089,18.76049494743347,10.488045692443848,16.549328327178955,8.080673217773438,14.493018627166748,9.997293472290039,5.034713983535767,9.559978008270264,4.072991371154785,9.621295690536499,17.638070821762085,10.955863952636719,7.0598464012146,9.858090877532959,15.590925693511963,20.992154598236084,275.6001627445221,10.0,1560107988
15,tpch,4GB,241.0,2824MB,7.0,3.0,8.0,221MB,1070MB,56.76902532577515,13.108734369277954,4.035124778747559,9.661818027496338,22.011613130569458,10.309759855270386,20.142183780670166,9.457744121551514,14.172707319259644,9.806016206741333,7.212617635726929,7.417968511581421,3.9156360626220703,9.807885885238647,17.91679072380066,10.619614601135254,7.132873773574829,10.21069073677063,12.52955150604248,18.85041570663452,275.08877205848694,10.0,1560107643
16,tpch,4GB,86.0,4452MB,1.0,3.0,5.0,844MB,257MB,63.28896427154541,16.890161514282227,5.8013670444488525,10.162972450256348,22.073477506637573,11.074309349060059,23.39307427406311,8.886014699935913,14.948933362960815,10.43789291381836,8.41359543800354,8.202959060668945,7.11552357673645,11.200307607650757,20.66301202774048,11.628657102584839,7.860081195831299,11.766263723373413,9.767935752868652,23.860709190368652,307.4362120628357,10.0,1560099116
17,tpch,4GB,11.0,7487MB,3.0,9.0,6.0,238MB,2606MB,58.63900065422058,11.669439792633057,3.354552745819092,10.26096773147583,18.782899618148804,10.719290018081665,16.358102083206177,7.117854356765747,15.751264095306396,9.806249380111694,5.102696895599365,7.721937894821167,4.5652756690979,15.42859673500061,15.145628929138184,10.266506910324097,7.606060266494751,10.098179817199707,9.335408449172974,20.344767808914185,268.074679851532,10.0,1560096922
18,tpch,6GB,7.0,6984MB,6.0,15.0,10.0,285MB,2785MB,58.72163367271423,10.627083778381348,2.9381396770477295,9.84375286102295,21.7538845539093,10.230680465698242,15.507948398590088,9.353447198867798,15.998220682144165,10.321707963943481,4.9519593715667725,8.905301094055176,3.7450695037841797,12.91722559928894,17.371095180511475,10.13555121421814,7.0071494579315186,9.650985956192017,8.89790415763855,22.06466245651245,270.94340324401855,10.0,1560101222
19,tpch,4GB,241.0,4810MB,1.0,11.0,5.0,995MB,3266MB,62.64391756057739,15.692046403884888,4.024037837982178,13.11293625831604,18.719793796539307,11.194172382354736,21.74921703338623,7.628549575805664,15.716277837753296,10.65484094619751,4.850394010543823,8.71560287475586,7.112000465393066,16.635608673095703,21.59148669242859,13.270359516143799,7.908890008926392,11.34029769897461,9.449308395385742,24.022294998168945,306.03203296661377,10.0,1560095153
