,Experiment_name,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_parallel_setup_cost,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,iteration,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
35,k8sCluster_10g_100_3,tpch,7GB,174.0,7024MB,7.0,,10.0,1.0,983MB,3216MB,35.0,47.082022190094,14.078185796737671,3.4187242984771733,15.46274709701538,25.412221431732178,8.361407041549683,18.28914761543274,8.156058549880981,24.092055559158325,10.728562831878662,5.8409574031829825,8.365248441696169,5.059450626373291,12.088102102279663,17.061414003372192,12.863038778305054,8.21596622467041,11.803025722503662,15.782942295074465,22.56052136421204,294.72179937362665,10.0,1567857083.0
36,k8sCluster_10g_100_3,tpch,3GB,116.0,4302MB,5.0,,10.0,4.0,308MB,2660MB,36.0,45.00680160522461,12.953872680664062,3.4287204742431636,14.239398717880249,25.525845050811768,8.42894172668457,16.595739603042606,8.185514688491821,23.331884622573853,10.628721475601195,5.580622434616089,7.843059301376343,4.708776473999023,13.078949213027954,17.10465693473816,11.688812494277954,7.921144247055054,11.903291940689087,10.580134391784668,23.3795108795166,282.1143989562988,10.0,1567858145.0
37,k8sCluster_10g_100_3,tpch,3GB,116.0,4302MB,5.0,,10.0,4.0,308MB,2660MB,37.0,46.163031339645386,12.938146591186525,3.2866501808166504,13.433919668197632,25.610294580459595,8.223628759384155,17.989524126052856,8.559542417526245,25.253525018692017,10.262475252151491,5.693443536758423,8.31830096244812,4.598636388778687,13.120092630386353,15.62830686569214,11.9908709526062,7.587717294692992,10.70812964439392,14.762288093566895,23.539538860321045,287.6680631637573,10.0,1567859229.0
38,k8sCluster_10g_100_3,tpch,3GB,116.0,4302MB,5.0,,10.0,4.0,308MB,2660MB,38.0,45.87625360488892,13.332713603973387,3.3153347969055176,13.78137493133545,25.754954099655148,9.076581478118896,17.463687896728516,8.187822818756104,23.943931341171265,10.406095266342165,5.695872783660889,8.173438549041746,4.674326658248901,12.53394603729248,16.451340675354007,12.44712209701538,7.382741928100586,11.11030101776123,10.1268208026886,21.699620723724365,281.43428111076355,10.0,1567860350.0
39,k8sCluster_10g_100_3,tpch,2GB,238.0,4692MB,5.0,,9.0,11.0,545MB,3850MB,39.0,45.86993217468262,13.08674383163452,4.041168928146361,11.29367733001709,26.06412386894226,9.150298833847048,17.6677188873291,9.15629768371582,24.428342580795288,10.656999588012695,7.4032037258148184,8.880354166030882,4.26935076713562,13.014501571655273,17.749140977859497,12.464457511901855,7.956747055053711,11.034011840820312,11.284383058547974,24.69840097427368,290.16985535621643,10.0,1567861413.0
40,k8sCluster_10g_100_3,tpch,2GB,238.0,4692MB,5.0,,9.0,11.0,545MB,3850MB,40.0,46.20637965202332,12.874965190887453,4.132326364517212,11.548858642578125,27.43639850616455,7.529951095581055,16.960907459259033,9.84766149520874,23.415326356887817,10.626608610153196,7.8117995262146,8.615043640136719,4.775524139404297,12.789762496948242,17.824542999267578,11.8424711227417,7.974252939224242,12.086620330810547,14.062156915664673,22.041855096817017,290.4034125804901,10.0,1567862477.0
41,k8sCluster_10g_100_3,tpch,2GB,238.0,4692MB,5.0,,9.0,11.0,545MB,3850MB,41.0,46.26359844207764,14.19698715209961,4.1613409519195566,11.028434991836548,25.035556077957157,8.084352254867554,18.122918367385864,9.310490608215332,23.76419544219971,10.570357561111448,7.561099529266357,9.211313247680664,4.3728885650634775,12.66788101196289,16.992230415344242,11.208902597427368,8.887234210968018,11.695306062698364,10.961483478546144,23.7906506061554,287.8872215747833,10.0,1567863576.0
42,k8sCluster_10g_100_3,tpch,3GB,175.0,120MB,6.0,,9.0,11.0,635MB,1700MB,42.0,46.9956214427948,13.1423180103302,3.9380309581756587,12.663234949111938,27.43102121353149,7.8660826683044425,17.799744606018066,9.374115705490114,25.97852468490601,10.0563325881958,7.31943941116333,9.424938201904297,5.196418523788452,11.877928733825685,17.073349475860596,10.877370357513428,8.176342964172362,11.858790397644045,14.847910642623901,25.127258777618408,297.02477431297297,10.0,1567864662.0
43,k8sCluster_10g_100_3,tpch,3GB,175.0,120MB,6.0,,9.0,11.0,635MB,1700MB,43.0,47.29937529563904,13.113850116729735,3.8590898513793945,11.228051900863647,26.41804838180542,8.419621467590332,18.267513990402218,9.533035039901732,23.10602211952209,10.513557195663454,7.949389934539795,8.503441095352173,4.9242637157440186,12.04067349433899,16.6563880443573,12.12779951095581,8.3558189868927,12.190544366836548,14.98736572265625,22.69151020050049,292.1853604316712,10.0,1567865736.0
44,k8sCluster_10g_100_3,tpch,3GB,175.0,120MB,6.0,,9.0,11.0,635MB,1700MB,44.0,45.242003679275506,13.077296495437622,3.941133975982666,10.701073884963991,28.043126821517944,7.913534879684447,16.995679140090942,9.220754384994509,25.866317987442017,10.329421043395996,7.5541534423828125,8.292989015579224,4.485153913497925,13.196938276290894,16.648639917373654,12.478150129318236,8.227489471435549,12.347755908966064,14.489607095718384,24.925861835479736,293.9770812988281,10.0,1567866798.0
45,k8sCluster_10g_100_3,tpch,1GB,169.0,4323MB,3.0,,1.0,15.0,196MB,2386MB,45.0,45.98913884162903,15.529130220413208,3.611338138580322,11.10806679725647,24.99102878570557,11.242446184158325,20.80269169807434,8.388315200805664,24.56882333755493,12.281780004501345,5.443941354751587,57.10114884376526,5.811581134796143,11.814489603042604,324.68906712532043,12.325986623764038,7.220755100250244,14.218350410461426,11.324376106262207,19.997090578079227,648.4595460891724,10.0,1567868220.0
46,k8sCluster_10g_100_3,tpch,1GB,169.0,4323MB,3.0,,1.0,15.0,196MB,2386MB,46.0,46.345763206481934,16.192451477050778,3.7179207801818848,10.4417462348938,26.58247447013855,10.736537456512453,20.621971130371094,8.362545967102049,25.9805748462677,11.122408628463745,5.5400941371917725,61.383010625839226,5.80416750907898,11.232810020446776,315.1748552322388,11.898494243621824,7.971830368041992,14.171687841415405,12.20044493675232,24.955016374588013,650.4368054866792,10.0,1567869647.0
47,k8sCluster_10g_100_3,tpch,1GB,169.0,4323MB,3.0,,1.0,15.0,196MB,2386MB,47.0,46.441367387771606,14.721515655517578,3.5991399288177486,10.786972522735596,26.48504638671875,11.59158730506897,20.39013409614563,8.324010133743286,26.419822216033936,10.584820747375488,6.911323547363281,57.04037380218506,5.589427471160889,11.152790307998657,328.45013523101807,12.144086360931395,8.06850790977478,14.479654788970947,10.400396108627321,25.999236822128296,659.5803487300873,10.0,1567871088.0
48,k8sCluster_10g_100_3,tpch,2GB,107.0,1200MB,1.0,,3.0,15.0,33MB,1341MB,48.0,66.55960369110107,17.99339270591736,5.856752157211304,16.020614862442017,25.99316644668579,11.529173374176025,34.32711505889893,11.378708839416506,28.429571628570557,15.212428092956545,7.92920994758606,12.269466876983644,11.812132358551025,17.34054446220398,325.5870156288147,17.993248462677006,10.95666241645813,18.829482316970825,15.579331398010256,32.223817825317376,703.8214385509491,10.0,1567872581.0
49,k8sCluster_10g_100_3,tpch,2GB,107.0,1200MB,1.0,,3.0,15.0,33MB,1341MB,49.0,69.79327869415283,18.202306985855106,6.142857074737549,16.368056297302243,25.484146118164066,11.062804698944092,34.38517141342163,11.120226621627808,26.83493661880493,15.081291913986206,7.617556095123291,12.868138790130615,12.099230527877808,16.703533172607422,322.13926196098333,17.367150783538822,10.69505262374878,18.973644018173214,15.63377332687378,37.41091752052307,705.9833352565765,10.0,1567874087.0
50,k8sCluster_10g_100_3,tpch,2GB,107.0,1200MB,1.0,,3.0,15.0,33MB,1341MB,50.0,72.13774800300598,17.82379984855652,5.534760236740112,15.703624963760376,26.667205095291138,11.959720373153687,34.489039421081536,10.70566391944885,29.5740225315094,15.589579820632935,7.427197456359862,12.379752397537231,10.28108263015747,17.59941291809082,329.8420534133911,17.080975770950314,11.524295091629028,20.196271657943726,14.49794101715088,33.33306932449341,714.3472158908844,10.0,1567875584.0
51,k8sCluster_10g_100_3,tpch,5GB,117.0,5318MB,3.0,,14.0,4.0,922MB,2976MB,51.0,46.28483486175537,12.304705619812012,3.3414309024810787,13.960244417190552,26.076890230178837,7.421538591384888,21.055487632751465,8.461848258972168,26.330933094024658,9.732187271118164,6.010444402694702,8.305304050445558,6.544956922531128,13.131165504455565,15.670394897460938,11.805729627609253,7.635617256164551,11.569608449935913,10.719013214111328,20.74392890930176,287.1062641143799,10.0,1567876662.0
52,k8sCluster_10g_100_3,tpch,5GB,117.0,5318MB,3.0,,14.0,4.0,922MB,2976MB,52.0,45.179795742034905,13.228129863739015,3.5899603366851807,13.680939435958862,25.52941870689392,8.008154153823853,20.866153955459595,8.756227970123291,24.761638402938843,9.748280286788939,5.904804229736327,8.168406009674072,6.522037982940674,13.42071533203125,16.25177264213562,12.29415798187256,7.2980101108551025,12.551408767700195,10.968970775604248,21.99462103843689,288.7236037254333,10.0,1567877734.0
53,k8sCluster_10g_100_3,tpch,5GB,117.0,5318MB,3.0,,14.0,4.0,922MB,2976MB,53.0,45.96925449371338,14.445985555648804,3.4620580673217773,13.567751407623293,26.33385729789734,7.968534231185912,20.860689163208008,8.2611985206604,26.371501922607425,10.586960792541504,5.620422124862671,9.664808511734007,6.0894415378570566,12.187929153442385,16.424829959869385,12.497695207595825,8.191023588180544,11.20186471939087,14.959391117095947,23.418217420578003,298.08341479301447,10.0,1567878813.0
54,k8sCluster_10g_100_3,tpch,2GB,254.0,2448MB,1.0,,14.0,16.0,836MB,1757MB,54.0,69.22887802124022,16.726561069488525,6.545661211013794,15.982380867004395,24.732171058654785,11.354253768920898,32.516250133514404,10.99026107788086,29.80785393714905,15.177882432937622,5.825660943984985,11.171621799468994,9.953248500823976,17.381988525390625,23.107549905776978,16.70339798927307,10.798394203186037,16.805933952331547,14.148953676223755,34.537852048873894,393.49675512313837,10.0,1567880000.0
55,k8sCluster_10g_100_3,tpch,2GB,254.0,2448MB,1.0,,14.0,16.0,836MB,1757MB,55.0,67.59995198249817,17.538522243499756,6.4838924407958975,15.44967770576477,25.75194716453552,11.844309568405151,34.483924150466926,10.034370660781859,26.97879147529602,15.247915506362915,5.9187185764312735,12.448304891586304,9.920222282409668,17.376432418823242,23.201100826263428,17.52515697479248,13.686635494232178,16.415229797363278,13.694166898727415,34.449751615524285,396.04902267456055,10.0,1567881174.0
